"Ingredient ID",4513,11283,5014,11478,11546,6172,20445
"Ingredient Description","Vegetable oil, palm kernel","Onions, cooked, boiled, drained, without salt","Chicken, broilers or fryers, meat only, stewed","Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt","Tomato products, canned, paste, without salt added","Soup, stock, chicken, home-prepared","Rice, white, long-grain, regular, cooked, unenriched, without salt"
"Portion size","tablespoon","large","100g","100g","tbsp","cup","cup"
"Quantity",2,2,5,6,2,3,0.33
"Fatty acids, total polyunsaturated",0.43520000000000003,0.18688,7.7,0.9059999999999999,0.0512,1.5336,0.039626400000000006,10.8525064
"6:0",0.054400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.054400000000000004
"12:0",12.783999999999999,0.0,0.1,0.0,0.0,0.0,0.0,12.883999999999999
"18:4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iron, Fe",0.0,0.6144,5.85,2.2199999999999998,0.9536,1.5119999999999998,0.10428000000000001,11.25428
"Proline",0.0,0.10752,5.61,0.12,0.024,0,0.06621780000000001,5.927737800000001
"Calcium, Ca",0.0,56.32,70.0,108.0,11.52,21.6,5.214000000000001,272.654
"Tocopherol, delta",0,0.0,0,0,0.0,0,0,0.0
"18:2 undifferentiated",0.43520000000000003,0.17920000000000003,6.2,0.34800000000000003,0.048639999999999996,1.4687999999999999,0.0323268,8.712166799999999
"Starch",0,0,0,0.0,0.0704,0,0,0.0704
"Fiber, total dietary",0.0,3.5839999999999996,0.0,6.0,1.3119999999999998,0.0,0.20856000000000002,11.10456
"Fatty acids, total monounsaturated",3.1008,0.06912,11.95,0.17400000000000002,0.02144,4.1904,0.045883200000000006,19.551643199999997
"Copper, Cu",0.0,0.17152,0.305,0.312,0.1168,0.38880000000000003,0.035976600000000004,1.3300965999999999
"Ash",0.0,1.1264,4.25,3.54,0.8959999999999999,4.5360000000000005,0.21377400000000002,14.562174000000002
"Dihydrophylloquinone",0,0,0.0,0,0.0,0,0,0.0
"Galactose",0,0.0,0,0,0.0,0,0,0.0
"Zinc, Zn",0.0,0.5376,9.95,1.98,0.2016,1.008,0.255486,13.932685999999999
"20:4 undifferentiated",0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.55
"Carotene, alpha",0.0,0.0,0.0,0.0,9.28,0.0,0.0,9.28
"18:1 undifferentiated",3.1008,0.06912,10.0,0.17400000000000002,0.02048,3.4848000000000003,0.0453618,16.894561799999998
"Glycine",0.0,0.14592,6.7,0.14400000000000002,0.0304,0,0.06361080000000001,7.083930800000001
"Fatty acids, total saturated",22.167999999999996,0.07936,9.200000000000001,0.43199999999999994,0.032,2.3112,0.0401478,34.262707799999994
"Total lipid (fat)",27.2,0.4864,33.55,2.16,0.15039999999999998,8.639999999999999,0.145992,72.332792
"22:5 n-3 (DPA)",0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
"Vitamin K (phylloquinone)",6.718399999999999,1.28,12.0,25.200000000000003,3.648,1.4400000000000004,0.0,50.28640000000001
